,Year,AverageTemperature,AverageTemperatureUncertainty,ISO
22401,1909,8.272583333333333,0.47691666666666666,MCO
22402,1909,-1.4894166666666668,1.29375,MNG
22403,1909,9.99625,0.6343333333333333,MNE
22404,1909,25.901083333333332,0.43875,MSR
22405,1909,17.206500000000002,0.6761666666666667,MAR
22406,1909,23.644499999999997,0.8485,MOZ
22407,1909,20.22008333333333,0.8955833333333333,NAM
22408,1909,14.913333333333334,0.6239166666666667,NPL
22409,1909,8.484958333333333,0.3365,NLD
22410,1909,22.3145,0.87875,NCL
22411,1909,10.422666666666666,0.61575,NZL
22412,1909,25.68225,0.5317500000000001,NIC
22413,1909,27.1095,1.0198333333333334,NER
22414,1909,26.309916666666666,0.6445,NGA
22415,1909,24.555833333333336,0.8856666666666667,NIU
22417,1909,6.084166666666667,0.5388333333333334,PRK
22418,1909,26.473333333333333,0.8314166666666667,MNP
22419,1909,-0.5619166666666665,0.8173333333333334,NOR
22421,1909,26.748083333333337,0.80775,OMN
22422,1909,20.195333333333334,0.4835,PAK
22423,1909,26.695583333333335,0.6508333333333334,PLW
22425,1909,26.522666666666666,0.7065,PL
22426,1909,25.693166666666666,0.56225,PAN
22427,1909,24.582166666666666,0.5455,PNG
22428,1909,22.643,0.8734166666666666,PRY
22429,1909,19.248,0.8384999999999999,PER
22430,1909,26.162666666666667,0.3709166666666666,PHL
22431,1909,6.80875,0.34299999999999997,POL
22432,1909,14.310666666666664,0.7119166666666666,PRT
22433,1909,25.04525,0.4083333333333334,PRI
22434,1909,26.932916666666667,0.7213333333333334,QAT
22435,1909,22.858416666666667,0.97175,REU
22436,1909,8.546999999999999,0.5618333333333333,ROU
22437,1909,-5.865083333333334,0.7795,RUS
22438,1909,18.361333333333334,0.7863333333333333,RWA
22439,1909,26.128333333333334,0.5066666666666667,BLM
22440,1909,25.387583333333335,0.41583333333333333,KNA
22441,1909,26.160083333333336,0.39316666666666666,LCA
22442,1909,26.128333333333334,0.5066666666666667,MF
22443,1909,5.0921666666666665,0.6514166666666666,SPM
22444,1909,26.3125,0.3735,VCT
22445,1909,25.640333333333334,0.8245,WSM
22446,1909,13.223666666666666,0.41608333333333336,SMR
22447,1909,25.34091666666667,0.7193333333333333,STP
22448,1909,25.786833333333334,0.654,SAU
22449,1909,27.402083333333334,0.5778333333333333,SEN
22450,1909,9.724916666666667,0.5413333333333333,SRB
22451,1909,26.194666666666667,0.6409166666666667,SYC
22452,1909,25.47266666666667,0.8395833333333332,SLE
22453,1909,26.292833333333334,0.5378333333333333,SGP
22454,1909,26.128333333333334,0.5066666666666667,SX
22455,1909,7.038666666666667,0.40975,SVK
22456,1909,9.033,0.40225,SVN
22457,1909,26.585250000000002,0.5850833333333333,SLB
22458,1909,26.460833333333337,1.2595833333333333,SOM
22459,1909,16.958833333333335,0.7363333333333334,ZAF
22461,1909,1.2169999999999999,1.0703333333333334,SGS
22462,1909,11.429499999999999,0.39033333333333337,KOR
22463,1909,13.04875,0.4395833333333334,ESP
22464,1909,26.761583333333334,0.3105,LKA
22465,1909,26.86366666666667,0.7075,SDN
22466,1909,25.94575,0.5134166666666666,SUR
22467,1909,-8.055,2.8393333333333337,SJM
22468,1909,19.127666666666666,1.6778333333333333,SWZ
22469,1909,1.7514166666666664,0.4426666666666667,SWE
22470,1909,6.179166666666667,0.35683333333333334,CHE
22471,1909,18.30666666666667,0.5501666666666667,SYR
22472,1909,22.037833333333335,0.33975,TWN
22473,1909,4.269666666666667,0.6824166666666667,TJK
22474,1909,21.845083333333335,0.54025,TZA
22475,1909,25.878,0.41733333333333333,THA
22476,1909,25.7135,0.6515000000000001,TLS
22477,1909,26.28108333333333,0.7198333333333333,TGO
22478,1909,22.839083333333335,0.9730833333333333,TON
22479,1909,25.62,0.4705,TTO
22480,1909,19.3065,0.5856666666666667,TUN
22481,1909,11.909666666666666,0.47700000000000004,TUR
22482,1909,15.272083333333335,0.78625,TKM
22483,1909,26.217583333333334,0.5690833333333333,TCA
22484,1909,22.233166666666666,0.6480833333333333,UGA
22485,1909,7.520416666666666,0.4123333333333334,UKR
22486,1909,27.699,0.6844166666666668,ARE
22487,1909,7.951666666666667,0.33241666666666664,GBR
22488,1909,8.221833333333334,0.2813333333333334,USA
22489,1909,16.409499999999998,0.7041666666666666,URY
22490,1909,12.736333333333334,0.6688333333333333,UZB
22491,1909,24.55875,0.5625,VEN
22492,1909,23.622500000000002,0.3426666666666667,VNM
22493,1909,25.872583333333335,0.4955,VIR
22494,1909,22.084166666666665,0.7235833333333334,ESH
22495,1909,26.134333333333334,1.0578333333333332,YEM
22496,1909,20.959083333333332,0.6965833333333333,ZMB
22497,1909,20.919500000000003,0.7111666666666667,ZWE
22498,1909,4.688166666666667,0.58025,ALA
22499,1910,13.216500000000002,0.707,AFG
22501,1910,12.664833333333334,0.5753333333333334,ALB
22502,1910,22.676916666666667,0.8705833333333333,DZA
22503,1910,26.110583333333334,0.65,ASM
22504,1910,10.680083333333334,0.40675,AND
22505,1910,21.58791666666667,0.8036666666666666,AGO
22506,1910,26.077083333333334,0.5523333333333333,AIA
22507,1910,25.9225,0.545,ATG
22508,1910,14.164583333333333,0.38775000000000004,ARG
22509,1910,8.528166666666667,0.6863333333333334,ARM
22510,1910,27.491083333333336,0.7553333333333333,ABW
22512,1910,21.569083333333335,0.30924999999999997,AUS
22513,1910,6.249916666666667,0.3308333333333333,AUT
22514,1910,11.299916666666668,0.45025000000000004,AZE
22515,1910,24.233500000000003,0.47808333333333336,BHS
22516,1910,25.238416666666666,0.7136666666666667,BHR
22517,1910,25.061833333333336,0.4969166666666667,BK
22518,1910,24.532833333333333,0.31675000000000003,BGD
22519,1910,25.893416666666667,0.4215,BRB
22520,1910,6.9031666666666665,0.441,BLR
22521,1910,9.599583333333333,0.3205,BEL
22522,1910,24.202833333333334,0.7958333333333333,BLZ
22523,1910,26.791916666666665,0.95975,BEN
22524,1910,11.606583333333333,0.46349999999999997,BTN
22525,1910,20.4385,0.7159166666666666,BOL
22526,1910,26.790666666666667,0.7249166666666667,BES
22527,1910,10.61775,0.5024166666666666,BIH
22528,1910,21.347583333333333,0.6741666666666667,BWA
22529,1910,24.418083333333332,0.5039166666666667,BRA
22530,1910,25.77716666666667,0.5880833333333334,VGB
22531,1910,10.877249999999998,0.5279166666666667,BGR
22532,1910,28.09241666666667,1.4260833333333334,BFA
22533,1910,23.459500000000002,0.42883333333333334,MMR
22534,1910,19.482333333333333,0.7216666666666667,BDI
22535,1910,26.505499999999998,0.545,KHM
22536,1910,23.645,0.8598333333333333,CMR
22537,1910,-5.078416666666667,0.85475,CAN
22538,1910,24.368083333333335,1.2123333333333333,CPV
22539,1910,25.887249999999998,0.645,CYM
22540,1910,24.37591666666667,1.01,CAF
22541,1910,26.042666666666666,1.2458333333333333,TCD
22542,1910,8.906166666666666,0.50525,CHL
22543,1910,6.0715,0.5288333333333334,CHN
22544,1910,25.258666666666667,0.6776666666666666,CXR
22545,1910,24.086250000000003,0.6028333333333333,COL
22546,1910,25.123,0.6040833333333333,COM
22547,1910,23.961083333333335,0.7924166666666667,COG
22549,1910,24.635500000000004,0.7553333333333333,CRI
22550,1910,11.5045,0.39825,HRV
22551,1910,24.555833333333336,0.49874999999999997,CUB
22552,1910,26.958083333333335,0.7759999999999999,CUW
22553,1910,18.235166666666668,0.6035833333333334,CYP
22554,1910,7.914416666666667,0.29858333333333337,CZE
22555,1910,25.807333333333332,1.2685833333333334,CIV
22556,1910,-5.456083333333333,1.132625,DNK
22557,1910,28.893333333333334,1.3307499999999999,DJI
22558,1910,25.553083333333333,0.4945833333333333,DMA
22559,1910,24.994416666666666,0.544,DOM
22560,1910,20.930666666666667,0.7963333333333334,ECU
22561,1910,22.03816666666667,0.6494166666666666,EGY
22562,1910,23.958916666666667,0.8485,SLV
22563,1910,24.4785,0.6736666666666666,GNQ
22564,1910,26.422916666666666,1.042,ERI
22565,1910,6.103416666666667,0.43933333333333335,EST
22566,1910,23.116083333333336,1.19425,ETH
22569,1910,6.3598333333333334,0.5717500000000001,FRO
22570,1910,26.521833333333337,0.81725,FSM
22571,1910,25.026,1.1799166666666665,FJI
22572,1910,2.1301666666666663,0.35125,FIN
22573,1910,11.314708333333334,0.40599999999999997,FRA
22574,1910,25.238,0.45075,GUF
22575,1910,25.67441666666667,0.7716666666666666,PYF
22576,1910,23.866083333333336,0.7265,GAB
22577,1910,27.539749999999998,0.81875,GMB
22579,1910,8.235,0.6121666666666666,GEO
22580,1910,8.418750000000001,0.2806666666666667,DEU
22581,1910,26.199333333333332,1.2670000000000001,GHA
22582,1910,14.731,0.5081666666666667,GRC
22583,1910,-20.07125,2.003416666666667,GRL
22584,1910,26.197083333333335,0.432,GRD
22585,1910,25.81041666666667,0.5349166666666667,GLP
22586,1910,26.588166666666666,0.7879999999999999,GUM
22587,1910,22.23325,0.8209166666666666,GTM
22588,1910,10.797916666666666,0.3875,GGY
22589,1910,25.499,0.9067500000000001,GIN
22590,1910,26.791416666666667,0.7034166666666667,GNB
22591,1910,25.510333333333335,0.5448333333333334,GUY
22592,1910,25.659499999999998,0.5517500000000001,HTI
22593,1910,23.774833333333333,0.7599999999999999,HND
22594,1910,22.427333333333333,0.5708333333333333,HKG
22595,1910,10.195416666666667,0.35958333333333337,HUN
22596,1910,0.9402499999999998,0.6042500000000001,ISL
22597,1910,23.544166666666666,0.29883333333333334,IND
22598,1910,25.40575,0.449,IDN
22599,1910,17.008,0.6630833333333334,IRN
22600,1910,21.351250000000004,0.5872499999999999,IRQ
22601,1910,9.213416666666665,0.47608333333333336,IRL
22602,1910,9.208666666666668,0.32858333333333334,IMN
22603,1910,19.06175,0.4395,ISR
22604,1910,12.374416666666667,0.3560833333333333,ITA
22605,1910,25.387249999999998,0.62475,JAM
22606,1910,11.378916666666667,0.2755,JPN
22607,1910,10.797916666666666,0.3875,JEY
22608,1910,18.834333333333333,0.45975000000000005,JOR
22609,1910,4.9301666666666675,0.6310833333333333,KAZ
22610,1910,23.796083333333332,0.9799166666666667,KEN
22611,1910,26.295916666666667,0.6669999999999999,KR
22612,1910,25.897583333333333,0.6201666666666666,KIR
22613,1910,24.457333333333334,0.7193333333333333,KWT
22614,1910,2.900166666666667,1.17025,KGZ
22615,1910,23.44158333333333,0.49241666666666667,LAO
22616,1910,6.580416666666667,0.4226666666666667,LVA
22617,1910,17.121333333333336,0.5723333333333334,LBN
22618,1910,12.899166666666666,0.7019166666666666,LSO
22619,1910,25.255166666666668,0.9334166666666667,LBR
22620,1910,21.665333333333333,0.87925,LBY
22621,1910,4.470583333333333,0.46491666666666664,LIE
22622,1910,7.100083333333333,0.3933333333333333,LTU
22623,1910,9.25975,0.3248333333333333,LUX
22624,1910,22.19825,0.59175,MO
22625,1910,10.570500000000001,0.5603333333333333,MKD
22626,1910,22.155083333333334,0.68575,MDG
22627,1910,20.711583333333333,0.6915,MWI
22628,1910,25.434083333333334,0.4214166666666667,MYS
22629,1910,28.439916666666665,1.2748333333333333,MLI
